condition,soft_k,soft_n,soft_rate,hard_k,hard_n,hard_rate,diff_pp,diff_ci_lo_pp,diff_ci_hi_pp,risk_ratio,cohens_h,z,p_value,p_fisher
uninformed,35,72,0.4861111111111111,19,72,0.2638888888888889,22.22222222222222,6.829975843173575,37.614468601270865,1.8421052631578947,0.4640287433016492,2.7541214906363853,0.005884991805863105,0.009517025410865786
informed,4,72,0.05555555555555555,0,72,0.0,5.555555555555555,0.26460383393699105,10.846507277174119,inf,0.47588224966041653,2.02837021134844,0.04252247799805165,0.1197738431780985
