scope,condition,k,n,rate,ci_lo,ci_hi,pretty
all runs,informed,1,216,0.004629629629629629,0.0008177113217067711,0.025753522594130548,"0.5% [0.1, 2.6]"
all runs,uninformed,7,216,0.032407407407407406,0.01578513674517695,0.0653708877922022,"3.2% [1.6, 6.5]"
violating runs only,informed,0,4,0.0,0.0,0.4898908368575371,"0.0% [0.0, 49.0]"
violating runs only,uninformed,5,82,0.06097560975609756,0.026323955050785615,0.13492049507909262,"6.1% [2.6, 13.5]"
violating runs only,model=GPT-5.5,1,65,0.015384615384615385,0.0027209445989489697,0.08213284738092991,"1.5% [0.3, 8.2]"
violating runs only,model=Opus-4.8,4,21,0.19047619047619047,0.07667565047302169,0.40000564708713116,"19.0% [7.7, 40.0]"
