condition,finality,k,n,rate,ci_lo,ci_hi,pretty
uninformed,retry_invited,35,72,0.4861111111111111,0.37432674520569686,0.5993024540352474,"48.6% [37.4, 59.9]"
uninformed,final_this_attempt,28,72,0.3888888888888889,0.28465714377678847,0.5043764501507654,"38.9% [28.5, 50.4]"
uninformed,never_reconsidered,19,72,0.2638888888888889,0.1759377665384143,0.3757586205576374,"26.4% [17.6, 37.6]"
informed,retry_invited,4,72,0.05555555555555555,0.02181421596582661,0.13432015974438846,"5.6% [2.2, 13.4]"
informed,final_this_attempt,0,72,0.0,0.0,0.05065117267399196,"0.0% [0.0, 5.1]"
informed,never_reconsidered,0,72,0.0,0.0,0.05065117267399196,"0.0% [0.0, 5.1]"
