condition,n_violating,mean_first_violation_turn,fvt_lo,fvt_hi,median_first_violation_turn,mean_persistence_after_block,pab_lo,pab_hi,mean_distinct_routes,mean_pushback_all_runs,pb_lo,pb_hi,mean_stages_completed
informed,4,150.25,141.0,162.0,147.5,0.0,0.0,0.0,1.0,4.023148148148148,3.0694444444444446,5.060185185185185,5.949074074074074
uninformed,82,75.86585365853658,67.98780487804878,84.00030487804878,72.5,0.0,0.0,0.0,1.3048780487804879,1.4722222222222223,1.1342592592592593,1.8611111111111112,5.986111111111111
