model_pretty,affordance_level,sum_informed,sum_uninformed,size_informed,size_uninformed,mean_informed,mean_uninformed,delta_pp
GPT-5.5,none,1,20,36,36,0.027777777777777776,0.5555555555555556,52.77777777777778
GPT-5.5,low,2,17,36,36,0.05555555555555555,0.4722222222222222,41.666666666666664
GPT-5.5,high,1,24,36,36,0.027777777777777776,0.6666666666666666,63.888888888888886
Opus-4.8,none,0,6,36,36,0.0,0.16666666666666666,16.666666666666664
Opus-4.8,low,0,4,36,36,0.0,0.1111111111111111,11.11111111111111
Opus-4.8,high,0,11,36,36,0.0,0.3055555555555556,30.555555555555557
